x_group,x_subgroup,y_name,y_value
0.10,DPU,Parse,10.0844
0.10,DPU,Copy-Back,0.0554810
0.10,DPU,Raw Filtering,3.83624
0.10,DPU,Copy-In,1.98378
0.10,DPU,Preprocess,0.0756848
0.10,Host,Parse,10.183562
0.10,Host,Raw Filtering,30.858112
0.25,Host,Raw Filtering,28.62841
0.25,Host,Parse,23.686911
0.25,DPU,Preprocess,0.0774901
0.25,DPU,Copy-In,2.03888
0.25,DPU,Raw Filtering,3.93326
0.25,DPU,Copy-Back,0.0572090
0.25,DPU,Parse,24.0238
0.50,Host,Raw Filtering,27.73
0.50,Host,Parse,47.318627
0.50,DPU,Preprocess,0.0756669
0.50,DPU,Copy-In,1.97647
0.50,DPU,Raw Filtering,3.82556
0.50,DPU,Copy-Back,0.0596609
0.50,DPU,Parse,48.8093
0.75,Host,Raw Filtering,30.414
0.75,Host,Parse,71.840524
0.75,DPU,Preprocess,0.0748260
0.75,DPU,Copy-In,1.96604
0.75,DPU,Raw Filtering,3.82529
0.75,DPU,Copy-Back,0.0601261
0.75,DPU,Parse,72.8306
0.99,Host,Raw Filtering,28.2796
0.99,Host,Parse,94.314924
0.99,DPU,Preprocess,0.0740759
0.99,DPU,Copy-In,2.03204
0.99,DPU,Raw Filtering,3.73170
0.99,DPU,Copy-Back,0.0597391
0.99,DPU,Parse,97.3124
