version,parallelism,time
dickens,8,3.651335835
dickens,16,4.278165731
dickens,32,4.27022814
dickens,64,4.370893543
dickens,128,4.493429792
dickens,256,4.674447682
dickens,512,4.936079697
dickens,1024,5.069996302
dickens,2048,5.066058599
mozilla,8,1.634871049
mozilla,16,2.051629273
mozilla,32,2.706612477
mozilla,64,2.478981162
mozilla,128,2.768354002
mozilla,256,2.675131798
mozilla,512,2.825282357
mozilla,1024,2.906752113
mozilla,2048,2.883007034
nci,8,1.931178222
nci,16,2.322962666
nci,32,2.066630057
nci,64,2.067938887
nci,128,2.164993162
nci,256,2.304104852
nci,512,2.283403761
nci,1024,2.320043643
nci,2048,2.300326818
sao,8,1.891580431
sao,16,2.320236329
sao,32,2.253725673
sao,64,2.193534486
sao,128,2.257970506
sao,256,2.37715068
sao,512,2.425661931
sao,1024,2.438851455
sao,2048,2.427124566
spamfile,8,2.423864625
spamfile,16,2.443554169
spamfile,32,2.382297552
spamfile,64,2.497213584
spamfile,128,2.5041831
spamfile,256,2.452986021
spamfile,512,2.512748243
spamfile,1024,2.616951239
spamfile,2048,2.602968562
xml,8,2.3754021
xml,16,2.771786041
xml,32,2.704667403
xml,64,2.666945887
xml,128,2.849200653
xml,256,2.836651938
xml,512,2.927970678
xml,1024,2.971885309
xml,2048,2.93589523
